"","Orders_Unique","Returns_Unique","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Y_Income","RFMSeg"
"578",3,2,887,295.666666666667,-4,44,18,3,1.5,1473.23,-45.15,1.66091319052988,11.2875,"United Kingdom","0",13,2194.87,"1"
"579",4,0,309,77.25,0,95,27.5,0,0,753.73,0,2.43925566343042,0,"United Kingdom","0",44,1090.1,"1"
"580",1,2,77,77,-21,16,16,4,2,286.25,-40.95,3.71753246753247,1.95,"Others","0",57,519.89,"1"
"581",5,3,1696,339.2,-16,119,28.4,5,1.66666666666667,3179.66,-38.1,1.87479952830189,2.38125,"United Kingdom","1",26,3865.02,"2"
"582",1,1,190,190,-4,17,17,1,1,304.5,-15.8,1.60263157894737,3.95,"United Kingdom","0",168,766.99,"2"
"583",6,0,678,113,0,31,12,0,0,1139.4,0,1.68053097345133,0,"United Kingdom","1",25,2343.34,"1"
"586",2,0,71,35.5,0,31,20.5,0,0,229.15,0,3.22746478873239,0,"United Kingdom","0",63,272.13,"1"
"587",5,0,1603,320.6,0,74,26,0,0,2719.2,0,1.69631940112289,0,"United Kingdom","0",11,3006.27,"1"
"589",8,7,1612,201.5,-32,25,5.875,7,1.57142857142857,2615.68,-64.6,1.62263027295285,2.01875,"United Kingdom","0",70,2362.24,"2"
"590",3,0,1972,657.333333333333,0,125,46,0,0,2802.66,0,1.42122718052738,0,"Others","1",82,739.28,"1"
"591",3,0,1972,657.333333333333,0,125,46,0,0,2802.66,0,1.42122718052738,0,"Others","1",82,739.28,"1"
"593",2,0,461,230.5,0,36,19.5,0,0,698.55,0,1.51529284164859,0,"United Kingdom","1",40,568.42,"1"
"594",5,2,1097,219.4,-7,154,47,7,3.5,2365.8,-30.05,2.15660893345488,4.29285714285714,"United Kingdom","1",6,3431.1,"1"
"595",2,0,139,69.5,0,37,20.5,0,0,347.55,0,2.50035971223022,0,"United Kingdom","0",15,923.51,"0"
"596",3,0,353,117.666666666667,0,29,10.3333333333333,0,0,484.83,0,1.37345609065156,0,"United Kingdom","0",102,759.76,"1"
"597",6,2,14852,2475.33333333333,-384,64,15.1666666666667,2,1,13853.62,-1368,0.932778077026663,3.5625,"Others","0",19,17815.2,"2"
"598",4,0,926,231.5,0,80,25.75,0,0,1638.82,0,1.76978401727862,0,"United Kingdom","1",9,1674.97,"1"
"601",3,0,411,137,0,16,6,0,0,1070.77,0,2.6052798053528,0,"United Kingdom","0",4,1715.28,"0"
"604",4,1,2002,500.5,-5,159,65.75,4,4,1729.39,-8.25,0.863831168831169,1.65,"United Kingdom","0",22,2237.6,"2"
"606",2,1,345,172.5,-5,43,21.5,3,3,663.93,-17.45,1.9244347826087,3.49,"United Kingdom","0",50,201.13,"1"
"607",2,0,468,234,0,20,10,0,0,552.12,0,1.17974358974359,0,"United Kingdom","0",123,3487.86,"1"
"608",4,3,1159,289.75,-17,64,18.75,6,2.33333333333333,1316.28,-15.71,1.13570319240725,0.924117647058824,"United Kingdom","1",27,2441.41,"2"
"610",1,0,262,262,0,12,12,0,0,306.18,0,1.16862595419847,0,"United Kingdom","0",167,352.46,"1"
"611",1,1,229,229,-12,26,26,1,1,501.01,-35.4,2.18781659388646,2.95,"United Kingdom","1",166,152.32,"2"
"614",3,0,606,202,0,118,56.3333333333333,0,0,1322.69,0,2.18265676567657,0,"United Kingdom","0",42,1180.52,"1"
"615",0,1,0,0,-48,0,0,1,1,0,-20.16,0,0.42,"Others","0",167,1568.23,"1"
"616",1,0,135,135,0,28,29,0,0,428.82,0,3.17644444444444,0,"United Kingdom","0",167,1255.64,"1"
"617",1,0,56,56,0,6,6,0,0,101.2,0,1.80714285714286,0,"United Kingdom","0",167,19.8,"1"
"619",3,3,842,280.666666666667,-4,94,32,4,1.33333333333333,1495.58,-24.25,1.77622327790974,6.0625,"United Kingdom","0",84,2447.57,"2"
"620",1,0,184,184,0,20,20,0,0,1181,0,6.41847826086957,0,"United Kingdom","1",167,1554.37,"1"
"622",4,0,902,225.5,0,53,16.25,0,0,1285.02,0,1.42463414634146,0,"United Kingdom","0",46,2265.68,"1"
"623",1,1,34,34,-2,4,4,1,1,102.28,-7.5,3.00823529411765,3.75,"United Kingdom","0",145,215.25,"2"
"624",2,0,190,95,0,12,7,0,0,608.1,0,3.20052631578947,0,"United Kingdom","0",22,422.04,"0"
"625",3,2,274,91.3333333333333,-12,14,5.66666666666667,1,1,364.26,-59.4,1.32941605839416,4.95,"United Kingdom","0",15,383.18,"1"
"626",3,1,564,188,-6,32,13,1,1,623.46,-7.5,1.10542553191489,1.25,"United Kingdom","0",28,117.48,"1"
"628",1,1,158,158,-14,16,16,3,3,283.53,-14.4,1.79449367088608,1.02857142857143,"United Kingdom","0",162,334.56,"2"
"629",2,0,907,453.5,0,42,21,0,0,615.83,0,0.678974641675855,0,"United Kingdom","1",81,611.6,"1"
"630",3,0,1096,365.333333333333,0,78,27.3333333333333,0,0,1305.38,0,1.1910401459854,0,"United Kingdom","0",68,581.82,"1"
"631",2,0,1601,800.5,0,131,71.5,0,0,2516.47,0,1.57181136789507,0,"United Kingdom","1",60,1239.86,"1"
"632",4,0,177,44.25,0,56,16.75,0,0,611.97,0,3.45745762711864,0,"United Kingdom","1",57,362.15,"1"
"633",3,0,541,180.333333333333,0,38,15,0,0,814.04,0,1.50469500924214,0,"United Kingdom","0",25,173.82,"1"
"634",2,0,486,243,0,35,19,0,0,780.04,0,1.60502057613169,0,"United Kingdom","1",49,1282.66,"1"
"635",4,0,1415,353.75,0,116,39.5,0,0,3230.97,0,2.28337102473498,0,"United Kingdom","1",6,1928.09,"1"
"636",2,0,456,228,0,22,13,0,0,562.75,0,1.23410087719298,0,"United Kingdom","0",12,248.7,"0"
"637",8,2,1133,141.625,-37,44,9.625,3,1.5,2032.57,-46.65,1.79397175639894,1.26081081081081,"United Kingdom","1",11,5817.85,"2"
"641",0,1,0,0,-10,0,0,1,1,0,-67.5,0,6.75,"United Kingdom","0",167,1309.84,"1"
"642",5,4,1914,382.8,-90,42,15.4,4,1.75,1510.57,-71.76,0.789221525600836,0.797333333333333,"United Kingdom","0",11,2278.86,"2"
"643",0,1,0,0,-3,0,0,3,3,0,-16.95,0,5.65,"United Kingdom","0",167,1,"1"
"644",0,1,0,0,-16,0,0,2,2,0,-27.8,0,1.7375,"United Kingdom","0",167,386.43,"1"
"645",1,0,102,102,0,36,37,0,0,226.57,0,2.22127450980392,0,"United Kingdom","0",167,157.18,"1"
"646",7,1,1020,145.714285714286,-1,63,10.2857142857143,1,1,1717.06,-295,1.68339215686275,295,"United Kingdom","0",15,1616.61,"2"
"647",5,1,500,100,-17,56,13.6,3,3,1313.98,-38.21,2.62796,2.24764705882353,"United Kingdom","1",6,864.3,"1"
"648",1,1,93,93,-2,11,11,1,1,190.35,-5.1,2.04677419354839,2.55,"United Kingdom","0",125,1675.61,"2"
"649",5,0,964,192.8,0,50,15.6,0,0,1801.94,0,1.86923236514523,0,"United Kingdom","0",15,2187.63,"1"
"650",4,2,256,64,-3,11,4.75,1,1,700.88,-8.85,2.7378125,2.95,"United Kingdom","0",53,735.43,"2"
"653",5,2,1261,252.2,-17,101,25,3,1.5,1948.22,-38.75,1.54498017446471,2.27941176470588,"United Kingdom","1",55,2112.99,"2"
"655",8,5,3009,376.125,-8,72,13.25,6,1.2,6608.49,-15.66,2.19624127617149,1.9575,"United Kingdom","1",7,7353.3,"2"
"656",2,1,170,85,-1,55,29.5,1,1,345.66,-4.95,2.03329411764706,4.95,"United Kingdom","0",0,407.11,"1"
"657",1,0,146,146,0,8,8,0,0,217.2,0,1.48767123287671,0,"United Kingdom","0",166,1267.93,"1"
"658",2,0,742,371,0,55,31,0,0,735.62,0,0.991401617250674,0,"United Kingdom","0",8,584.07,"0"
"659",6,1,412,68.6666666666667,-15,5,2.16666666666667,1,1,4566.36,-69.75,11.0833980582524,4.65,"United Kingdom","0",18,2595.45,"2"
"660",8,0,1555,194.375,0,139,25.875,0,0,2871.63,0,1.84670739549839,0,"United Kingdom","1",2,3805.13,"1"
"661",4,0,525,131.25,0,47,16.25,0,0,851.74,0,1.6223619047619,0,"United Kingdom","0",9,624.35,"1"
"663",2,0,208,104,0,31,16.5,0,0,563.88,0,2.71096153846154,0,"United Kingdom","1",71,185.9,"1"
"664",7,0,388,55.4285714285714,0,21,5,0,0,682.04,0,1.75783505154639,0,"United Kingdom","0",8,853.73,"1"
"665",2,0,546,273,0,44,27,0,0,1436.44,0,2.63084249084249,0,"United Kingdom","1",12,747.1,"0"
"666",1,0,130,130,0,16,16,0,0,305.7,0,2.35153846153846,0,"United Kingdom","0",166,1460.06,"1"
"669",5,0,662,132.4,0,13,5.2,0,0,663.7,0,1.00256797583082,0,"United Kingdom","0",15,753.93,"1"
"671",1,1,1078,1078,-72,54,54,2,2,1085.46,-30.24,1.00692022263451,0.42,"United Kingdom","0",165,814.28,"2"
"672",4,1,1686,421.5,-36,50,15.5,1,1,1288.96,-31.32,0.764507710557533,0.87,"United Kingdom","0",58,1033.44,"2"
"674",2,2,600,300,-13,59,30,2,1,875.01,-20.95,1.45835,1.61153846153846,"United Kingdom","0",11,670.34,"1"
"675",1,0,173,173,0,21,21,0,0,332.18,0,1.92011560693642,0,"United Kingdom","1",166,484.33,"1"
"676",16,10,1341,83.8125,-34,76,9.3125,17,1.8,2648.8,-138.24,1.97524235645041,4.06588235294118,"United Kingdom","0",7,3102.52,"2"
"677",0,1,0,0,-8,0,0,2,2,0,-14.5,0,1.8125,"United Kingdom","0",166,1,"1"
"679",17,2,863,50.7647058823529,-104,55,5.23529411764706,11,5.5,2555.41,-258,2.96107763615295,2.48076923076923,"United Kingdom","0",4,3510.28,"1"
"681",7,6,1256,179.428571428571,-30,78,19.2857142857143,9,1.83333333333333,2757.48,-69.63,2.19544585987261,2.321,"United Kingdom","1",7,3627.38,"2"
"683",2,0,191,95.5,0,20,10,0,0,325.45,0,1.70392670157068,0,"United Kingdom","0",121,91.61,"1"
"684",13,1,18629,1433,-144,78,10.0769230769231,1,1,25075.94,-152.64,1.3460701057491,1.06,"United Kingdom","1",13,40968.78,"2"
"685",5,1,1147,229.4,-1,86,21,1,1,1678.23,-12.75,1.46314734088928,12.75,"United Kingdom","0",11,873.98,"1"
"686",8,0,1119,139.875,0,81,13.875,0,0,1773.68,0,1.58505808757819,0,"United Kingdom","0",9,2571.82,"1"
"688",2,1,202,101,-12,15,7.5,1,1,773.25,-419.4,3.8279702970297,34.95,"United Kingdom","1",60,302.59,"1"
"689",5,2,1298,259.6,-9,79,22,6,3,2201.22,-48.2,1.69585516178737,5.35555555555556,"United Kingdom","1",8,427.13,"1"
"691",3,0,2124,708,0,22,9.33333333333333,0,0,1487.24,0,0.700207156308851,0,"Others","0",56,310,"1"
"692",7,1,2186,312.285714285714,-4,146,25.1428571428571,1,1,2448.02,-15.8,1.11986276303751,3.95,"United Kingdom","1",8,3181.21,"1"
"693",9,1,235,26.1111111111111,-1,23,4.11111111111111,1,1,1232,-9.95,5.24255319148936,9.95,"United Kingdom","0",4,952.13,"1"
"694",7,1,3270,467.142857142857,-200,5,2,1,1,3920.7,-82,1.19899082568807,0.41,"United Kingdom","0",11,29624.11,"2"
"695",2,0,439,219.5,0,41,20.5,0,0,605.92,0,1.3802277904328,0,"United Kingdom","0",12,1018.1,"0"
"696",3,1,604,201.333333333333,-16,57,22.6666666666667,4,4,1562.95,-57.6,2.58766556291391,3.6,"Others","1",61,767.97,"2"
"697",4,1,3764,941,-3,467,148.5,2,2,5634.25,-10.15,1.49687832093518,3.38333333333333,"United Kingdom","1",9,4755.83,"1"
"702",2,0,104,52,0,3,1.5,0,0,598.8,0,5.75769230769231,0,"United Kingdom","0",110,1052.23,"1"
"703",4,0,1497,374.25,0,35,12.5,0,0,1111.28,0,0.742338009352037,0,"Others","0",22,1497.82,"1"
"704",3,0,189,63,0,22,7.33333333333333,0,0,168.73,0,0.892751322751323,0,"United Kingdom","0",20,347,"1"
"705",4,1,287,71.75,-10,26,6.5,1,1,462.73,-12.5,1.61229965156794,1.25,"United Kingdom","0",9,427.2,"1"
"706",3,0,1428,476,0,114,38.6666666666667,0,0,3364.63,0,2.35618347338936,0,"Others","1",15,963.83,"1"
"709",2,1,811,405.5,-551,62,32.5,35,35,1903.73,-1241.43,2.3473859432799,2.25304900181488,"United Kingdom","1",62,2287.27,"2"
"713",3,1,1334,444.666666666667,-24,104,41,2,2,2924.47,-34.8,2.19225637181409,1.45,"Others","0",56,853.51,"2"
"714",4,0,776,194,0,127,46.75,0,0,1255.76,0,1.61824742268041,0,"United Kingdom","1",65,596.91,"1"
"717",2,0,171,85.5,0,19,11,0,0,401.91,0,2.35035087719298,0,"United Kingdom","0",25,1422.32,"1"
"718",25,1,78758,3150.32,-3,386,31.88,1,1,110713.12,-45,1.40573808375022,15,"Others","1",5,168820.9,"2"
"719",1,0,145,145,0,14,14,0,0,286.95,0,1.97896551724138,0,"United Kingdom","0",162,317.56,"1"
"723",2,0,132,66,0,3,1.5,0,0,213.72,0,1.61909090909091,0,"United Kingdom","0",75,884.76,"1"
"724",2,4,508,254,-54,38,21.5,9,2.25,1250.16,-202.8,2.46094488188976,3.75555555555556,"United Kingdom","0",43,305.55,"2"
"725",3,0,9600,3200,0,6,5,0,0,3840,0,0.4,0,"United Kingdom","0",41,3072,"1"
"726",2,0,310,155,0,15,7.5,0,0,901.78,0,2.90896774193548,0,"United Kingdom","0",120,434.32,"1"
"727",3,0,313,104.333333333333,0,13,5.66666666666667,0,0,649.05,0,2.07364217252396,0,"United Kingdom","0",35,1323.5,"1"
"728",3,0,361,120.333333333333,0,45,15.6666666666667,0,0,900.04,0,2.49318559556787,0,"United Kingdom","1",27,1447.53,"1"
"729",3,0,1086,362,0,54,18.6666666666667,0,0,1456.56,0,1.34121546961326,0,"United Kingdom","0",13,1200.89,"1"
"730",5,1,1326,265.2,-5,158,36.6,1,1,2640.38,-9.25,1.99123680241327,1.85,"United Kingdom","1",40,1612.08,"2"
"731",5,0,930,186,0,78,18.2,0,0,1366.77,0,1.46964516129032,0,"Others","0",8,482.34,"1"
"733",1,0,20,20,0,3,3,0,0,65.4,0,3.27,0,"United Kingdom","0",161,802.22,"1"
"737",2,0,213,106.5,0,21,12,0,0,408.8,0,1.91924882629108,0,"United Kingdom","1",21,166.6,"0"
"739",1,0,374,374,0,26,26,0,0,662.9,0,1.77245989304813,0,"United Kingdom","0",160,3245.18,"1"
"741",1,0,540,540,0,10,10,0,0,433.5,0,0.802777777777778,0,"United Kingdom","0",160,1379.12,"1"
"743",4,1,1512,378,-3,82,23.5,1,1,1751.11,-11.25,1.15814153439153,3.75,"Others","0",46,99.45,"2"
"744",1,0,120,120,0,3,3,0,0,344.88,0,2.874,0,"United Kingdom","0",159,568.8,"1"
"746",1,0,496,496,0,13,13,0,0,354.64,0,0.715,0,"United Kingdom","0",159,666.84,"1"
"747",2,0,331,165.5,0,26,15.5,0,0,609.74,0,1.84211480362538,0,"United Kingdom","1",23,945.58,"1"
"748",3,2,391,130.333333333333,-15,41,15.3333333333333,7,3.5,805.09,-46.8,2.0590537084399,3.12,"United Kingdom","0",49,1265.18,"2"
"750",6,3,431,71.8333333333333,-31,101,22,5,1.66666666666667,932.75,-34.17,2.16415313225058,1.10225806451613,"United Kingdom","1",20,1043.87,"2"
"751",2,0,191,95.5,0,13,7.5,0,0,601.77,0,3.15062827225131,0,"United Kingdom","0",102,937.41,"1"
"752",2,1,1195,597.5,-669,69,35,21,21,2391.59,-1520.11,2.00133054393305,2.27221225710015,"United Kingdom","1",144,1327.53,"2"
"753",4,3,441,110.25,-5,24,7,2,1,994.66,-57,2.25546485260771,11.4,"Others","0",13,1389.47,"1"
"754",2,0,142,71,0,52,27.5,0,0,363.23,0,2.55795774647887,0,"United Kingdom","1",16,461.35,"0"
"758",2,0,182,91,0,35,19.5,0,0,312.32,0,1.71604395604396,0,"United Kingdom","1",26,546.95,"1"
"759",1,0,624,624,0,16,16,0,0,476.48,0,0.763589743589744,0,"United Kingdom","0",147,553.92,"1"
"761",1,2,748,748,-25,70,70,6,3,1608.66,-41.15,2.15061497326203,1.646,"Others","0",124,1185.85,"2"
"762",2,0,366,183,0,19,12,0,0,613.26,0,1.6755737704918,0,"United Kingdom","1",26,595.84,"1"
"763",2,0,342,171,0,10,5,0,0,136.14,0,0.398070175438596,0,"United Kingdom","0",141,59.6,"1"
"764",4,0,1650,412.5,0,6,4,0,0,2888,0,1.75030303030303,0,"United Kingdom","0",18,4904.36,"1"
"765",2,0,368,184,0,18,9,0,0,237.46,0,0.645271739130435,0,"United Kingdom","0",61,576.06,"1"
"766",1,0,480,480,0,1,1,0,0,1910.4,0,3.98,0,"United Kingdom","0",146,4838.4,"1"
"767",1,0,305,305,0,29,29,0,0,344.81,0,1.13052459016393,0,"United Kingdom","1",146,1581.84,"1"
"768",3,0,1050,350,0,154,58.3333333333333,0,0,1651.75,0,1.57309523809524,0,"United Kingdom","1",83,590.86,"1"
"769",2,0,653,326.5,0,70,35,0,0,521.53,0,0.798667687595712,0,"United Kingdom","0",71,595.15,"1"
"770",8,0,1202,150.25,0,91,14.75,0,0,2276.61,0,1.89401830282862,0,"United Kingdom","1",2,2664.05,"1"
"771",5,1,2837,567.4,-11,49,9.8,2,2,1960.18,-18.15,0.690934085301375,1.65,"United Kingdom","0",42,1653.45,"2"
"774",7,2,32079,4582.71428571429,-210,217,39.4285714285714,3,1.5,50883.9,-593.7,1.5862059291125,2.82714285714286,"Others","1",11,73435.25,"2"
"775",3,1,1081,360.333333333333,-711,33,14,17,17,888.92,-563.15,0.822312673450509,0.792053445850914,"United Kingdom","0",67,989.95,"2"
"776",6,0,4638,773,0,43,11.1666666666667,0,0,7607.82,0,1.6403234152652,0,"United Kingdom","1",7,5042.26,"1"
"777",7,0,1293,184.714285714286,0,204,64.8571428571429,0,0,2428.87,0,1.87847641144625,0,"United Kingdom","1",7,2599.55,"1"
"778",5,0,455,91,0,131,34.2,0,0,1811.29,0,3.98085714285714,0,"United Kingdom","1",20,547.3,"1"
"779",3,1,412,137.333333333333,-5,58,21.3333333333333,3,3,1098.5,-33.4,2.66626213592233,6.68,"United Kingdom","1",12,493.62,"1"
"780",0,1,0,0,-6,0,0,1,1,0,-51,0,8.5,"United Kingdom","0",145,133.56,"1"
"782",1,0,282,282,0,69,69,0,0,499.89,0,1.77265957446809,0,"United Kingdom","0",145,1019.53,"1"
"783",1,0,113,113,0,31,31,0,0,162.7,0,1.43982300884956,0,"United Kingdom","0",145,216.95,"1"
"784",2,2,205,102.5,-4,25,14,2,1,563.9,-63.95,2.75073170731707,15.9875,"Others","0",44,194.2,"2"
"785",3,0,240,80,0,29,11,0,0,594.02,0,2.47508333333333,0,"United Kingdom","1",81,1017.57,"1"
"786",2,0,448,224,0,65,37.5,0,0,682.96,0,1.52446428571429,0,"United Kingdom","0",124,115.5,"1"
"787",3,1,694,231.333333333333,-6,42,17,1,1,1537.16,-51,2.21492795389049,8.5,"United Kingdom","0",18,2164.71,"1"
"788",1,2,164,164,-14,16,16,3,2,252.1,-36.4,1.53719512195122,2.6,"United Kingdom","0",21,826.13,"1"
"790",1,0,281,281,0,11,11,0,0,311.07,0,1.10701067615658,0,"United Kingdom","0",144,611.05,"1"
"791",2,1,146,73,-1,13,6.5,1,1,217.81,-1.25,1.49184931506849,1.25,"United Kingdom","0",90,98.3,"2"
"792",2,0,240,120,0,7,4,0,0,688.8,0,2.87,0,"United Kingdom","0",104,958.46,"1"
"793",1,0,78,78,0,3,3,0,0,83.7,0,1.07307692307692,0,"United Kingdom","0",144,68.7,"1"
"794",10,1,2613,261.3,-1,48,8.7,1,1,3175.11,-0.65,1.2151205510907,0.65,"United Kingdom","1",11,1908.6,"2"
"795",1,1,630,630,-5,98,98,3,3,1138.67,-36.5,1.8074126984127,7.3,"Others","1",85,3378.7,"2"
"796",4,0,729,182.25,0,54,13.5,0,0,1103.16,0,1.51325102880658,0,"United Kingdom","0",60,690.01,"1"
"797",2,0,771,385.5,0,160,86.5,0,0,923.35,0,1.19760051880674,0,"United Kingdom","0",43,713.23,"1"
"799",2,0,762,381,0,67,38.5,0,0,1587.27,0,2.08303149606299,0,"Others","1",75,1694.36,"1"
"801",2,1,1395,697.5,-50,58,29.5,3,3,1301.69,-43.3,0.933111111111111,0.866,"United Kingdom","0",41,386.6,"1"
"802",3,0,916,305.333333333333,0,25,12.3333333333333,0,0,1527.08,0,1.66711790393013,0,"United Kingdom","0",16,2430.7,"1"
"804",3,0,2824,941.333333333333,0,20,8.66666666666667,0,0,7228.32,0,2.55960339943343,0,"United Kingdom","0",81,4353.48,"1"
"805",3,1,38,12.6666666666667,-2,5,2.33333333333333,1,1,331.5,-15.9,8.72368421052632,7.95,"United Kingdom","1",64,1252.79,"2"
"807",4,1,228,57,-1,76,25,1,1,569.02,-6.95,2.49570175438596,6.95,"United Kingdom","0",23,763.75,"1"
"810",1,0,156,156,0,48,49,0,0,195.45,0,1.25288461538462,0,"United Kingdom","0",142,284.86,"1"
"811",2,1,648,324,-2,47,29.5,1,1,1044.77,-3.3,1.61229938271605,1.65,"United Kingdom","1",43,1174.59,"1"
"812",3,0,306,102,0,32,10.6666666666667,0,0,671.29,0,2.19375816993464,0,"United Kingdom","1",67,435.24,"1"
"813",3,0,222,74,0,18,8.66666666666667,0,0,354.85,0,1.59842342342342,0,"United Kingdom","0",25,832.36,"1"
"815",4,1,759,189.75,-2,77,24.5,2,2,1862.51,-44.9,2.45389986824769,22.45,"United Kingdom","1",13,3147.77,"1"
"817",1,0,78,78,0,13,13,0,0,110.18,0,1.4125641025641,0,"United Kingdom","0",142,130.04,"1"
"818",1,0,181,181,0,22,22,0,0,320.22,0,1.76917127071823,0,"United Kingdom","0",142,563.92,"1"
"819",3,1,1095,365,-6,217,82,1,1,1589.48,-59.7,1.4515799086758,9.95,"United Kingdom","0",19,1308.78,"1"
"820",4,1,311,77.75,-2,37,10,1,1,679.54,-33.9,2.18501607717042,16.95,"United Kingdom","0",11,626.47,"1"
"822",4,0,908,227,0,9,4.5,0,0,1210.2,0,1.33281938325991,0,"Others","0",74,2996.07,"1"
"823",2,1,167,83.5,-3,25,13.5,1,1,464.59,-17.85,2.78197604790419,5.95,"United Kingdom","0",42,761.77,"1"
"827",1,0,645,645,0,29,29,0,0,326.82,0,0.506697674418605,0,"United Kingdom","0",141,1203.93,"1"
"828",2,2,303,151.5,-20,23,13,3,1.5,762.13,-96.6,2.51528052805281,4.83,"United Kingdom","1",99,785.07,"2"
"832",6,2,1005,167.5,-12,105,19,8,4,1927.41,-64.3,1.91782089552239,5.35833333333333,"United Kingdom","1",5,376.84,"1"
"835",1,0,71,71,0,13,13,0,0,302.57,0,4.26154929577465,0,"United Kingdom","1",140,52.54,"1"
"836",4,1,222,55.5,-1,18,6,1,1,508.96,-7.5,2.29261261261261,7.5,"Others","0",0,68.1,"1"
"837",3,0,462,154,0,48,17,0,0,1127.94,0,2.44142857142857,0,"United Kingdom","0",11,1232.61,"1"
"838",3,0,894,298,0,9,3.66666666666667,0,0,1411.92,0,1.5793288590604,0,"Others","0",28,1932.72,"1"
"839",0,1,0,0,-2,0,0,2,2,0,-11.5,0,5.75,"United Kingdom","0",140,166.2,"1"
"840",4,0,2004,501,0,158,52.25,0,0,1892.99,0,0.944605788423154,0,"United Kingdom","0",7,2874.37,"1"
"841",15,9,1687,112.466666666667,-92,41,5.06666666666667,9,1.66666666666667,4921.45,-376.82,2.91727919383521,4.09586956521739,"United Kingdom","1",5,11257.51,"2"
"842",4,2,695,173.75,-7,87,26.5,2,1,974.17,-14.65,1.40168345323741,2.09285714285714,"United Kingdom","0",23,931.47,"2"
"843",3,1,335,111.666666666667,-3,44,17.6666666666667,1,1,1083.15,-6.3,3.23328358208955,2.1,"United Kingdom","1",14,990.28,"1"
"844",1,0,182,182,0,7,7,0,0,288.5,0,1.58516483516484,0,"United Kingdom","0",140,1087.21,"1"
"845",3,0,256,85.3333333333333,0,29,11,0,0,617.31,0,2.4113671875,0,"Others","1",65,219.02,"1"
"846",5,0,1345,269,0,6,3,0,0,772.47,0,0.574327137546468,0,"United Kingdom","1",26,1690.32,"1"
"847",1,0,115,115,0,11,11,0,0,154.9,0,1.34695652173913,0,"Others","0",140,876.51,"1"
"848",3,1,603,201,-3,46,17.6666666666667,2,2,852.31,-9.6,1.41344941956882,3.2,"United Kingdom","0",40,1344.6,"2"
"851",4,0,271,67.75,0,30,8,0,0,500.19,0,1.84571955719557,0,"Others","1",60,1245.38,"1"
"852",1,0,373,373,0,39,39,0,0,812.25,0,2.17761394101877,0,"United Kingdom","0",139,2977.27,"1"
"854",2,3,129,64.5,-28,21,10.5,12,4,314.11,-93.1,2.43496124031008,3.325,"United Kingdom","1",12,420.54,"1"
"855",2,1,609,304.5,-4,93,48,2,2,2386.41,-35.8,3.91857142857143,8.95,"Others","1",48,3832.37,"2"
"856",9,1,3734,414.888888888889,-3,27,6,1,1,4632.35,-12.75,1.24058650241028,4.25,"United Kingdom","0",4,1482.66,"1"
"857",7,1,634,90.5714285714286,-2,156,44.2857142857143,1,1,1259.48,-2.9,1.98656151419558,1.45,"United Kingdom","1",21,320.81,"2"
"858",2,0,128,64,0,21,11,0,0,247.45,0,1.933203125,0,"United Kingdom","1",106,619.93,"1"
"859",8,1,1284,160.5,-5,50,9.375,1,1,1975.09,-54.75,1.53823208722741,10.95,"Others","1",6,2976.32,"1"
"860",5,0,569,113.8,0,87,21.6,0,0,1438.48,0,2.52808435852373,0,"United Kingdom","1",23,2049.11,"1"
"864",5,1,1240,248,-21,142,38.2,3,3,2085.45,-25.45,1.68181451612903,1.21190476190476,"United Kingdom","1",12,2377.23,"2"
"865",1,0,1,1,0,1,1,0,0,165,0,165,0,"United Kingdom","0",138,235.86,"1"
"867",2,0,243,121.5,0,25,13,0,0,488.31,0,2.00950617283951,0,"United Kingdom","0",68,465.78,"1"
"868",4,1,405,101.25,-1,50,17.25,1,1,1492.82,-4.25,3.68597530864198,4.25,"United Kingdom","1",13,1921.09,"1"
"870",2,0,378,189,0,56,30,0,0,450.56,0,1.19195767195767,0,"United Kingdom","0",131,1031.5,"1"
"874",2,0,244,122,0,11,7,0,0,367.8,0,1.50737704918033,0,"United Kingdom","0",93,961.86,"1"
"876",1,0,312,312,0,20,20,0,0,281.88,0,0.903461538461538,0,"United Kingdom","0",137,393.92,"1"
"877",5,3,978,195.6,-39,73,19.4,3,1,1734.62,-36.3,1.77364008179959,0.930769230769231,"Others","0",12,1953.93,"2"
"878",1,2,146,146,-40,16,16,5,2.5,322.58,-59.6,2.20945205479452,1.49,"United Kingdom","0",130,2845.08,"2"
"879",3,0,659,219.666666666667,0,151,59,0,0,1155.62,0,1.75359635811836,0,"United Kingdom","1",16,1385.91,"1"
"880",2,3,1120,560,-11,110,57,6,2,2125.6,-39.6,1.89785714285714,3.6,"United Kingdom","1",35,2803.14,"2"
"881",5,2,1593,318.6,-3,35,12.8,2,1,1661.89,-5.25,1.04324544883867,1.75,"United Kingdom","0",18,2404.6,"2"
"882",2,0,153,76.5,0,39,20.5,0,0,288.75,0,1.88725490196078,0,"United Kingdom","1",16,248.31,"0"
"885",1,0,48,48,0,1,1,0,0,69.6,0,1.45,0,"United Kingdom","0",135,260.43,"1"
"887",1,0,60,60,0,8,9,0,0,203.3,0,3.38833333333333,0,"United Kingdom","1",135,902.29,"1"
"888",2,0,653,326.5,0,60,38,0,0,923.42,0,1.41411944869832,0,"United Kingdom","0",46,865.99,"1"
